patch;patch_features;nome_join;Name;Win %;Pick %;Ban %;Presenca_Global %;delta_wr_1p;tendencia_3p;pressao_acumulada;wr_vs_media;target
2609;2608;yasuo;Yasuo;44.6;23.91;18.97;42.88;0.0;0.0;0;0.0;0
2609;2608;yone;Yone;44.27;19.8;4.24;24.04;0.0;0.0;0;0.0;0
2609;2608;yorick;Yorick;45.33;7.43;6.56;13.99;0.0;0.0;0;0.0;0
2609;2608;yunara;Yunara;46.22;15.47;2.91;18.38;0.0;0.0;0;0.0;0
2609;2608;yuumi;Yuumi;42.27;11.65;7.15;18.8;0.0;0.0;0;0.0;0
2609;2608;zaahen;Zaahen;45.43;9.64;5.32;14.96;0.0;0.0;0;0.0;0
2609;2608;zac;Zac;50.64;6.87;1.34;8.21;0.0;0.0;0;0.0;0
2609;2608;zed;Zed;48.09;20.24;22.76;43.0;0.0;0.0;0;0.0;0
2609;2608;zeri;Zeri;45.96;4.14;0.17;4.31;0.0;0.0;0;0.0;0
2609;2608;ziggs;Ziggs;43.31;5.35;0.44;5.79;0.0;0.0;0;0.0;0
2609;2608;zilean;Zilean;50.82;7.1;1.69;8.79;0.0;0.0;0;0.0;0
2609;2608;zoe;Zoe;45.18;9.74;6.61;16.35;0.0;0.0;0;0.0;0
2609;2608;zyra;Zyra;50.35;8.56;2.84;11.4;0.0;0.0;0;0.0;0
2610;2609;aatrox;Aatrox;44.83;15.68;8.89;24.57;-1.51;-1.51;0;-0.75;0
2610;2609;ahri;Ahri;47.93;21.79;4.68;26.47;4.33;4.33;0;2.17;0
2610;2609;akali;Akali;42.36;19.27;19.15;38.42;-1.79;-1.79;0;-0.9;0
2610;2609;akshan;Akshan;45.46;6.52;3.27;9.79;1.15;1.15;0;0.57;0
2610;2609;alistar;Alistar;40.69;7.39;1.53;8.92;-6.09;-6.09;0;-3.05;0
2610;2609;ambessa;Ambessa;46.79;13.88;12.59;26.47;-1.26;-1.26;0;-0.63;2
2610;2609;amumu;Amumu;44.66;4.62;1.0;5.62;-2.56;-2.56;0;-1.28;0
2610;2609;anivia;Anivia;47.87;11.69;5.08;16.77;1.15;1.15;0;0.57;1
2610;2609;annie;Annie;49.74;7.45;0.79;8.24;1.16;1.16;0;0.58;0
2610;2609;aphelios;Aphelios;42.11;8.87;2.11;10.98;-1.11;-1.11;0;-0.55;0
2610;2609;ashe;Ashe;42.83;32.45;9.75;42.2;-2.08;-2.08;0;-1.04;1
2610;2609;aurelionsol;Aurelion Sol;48.58;6.94;0.98;7.92;-1.3;-1.3;0;-0.65;0
2610;2609;aurora;Aurora;45.42;9.1;2.57;11.67;3.06;3.06;0;1.53;0
2610;2609;azir;Azir;40.44;4.25;0.32;4.57;0.82;0.82;0;0.41;0
2610;2609;bard;Bard;41.03;14.35;3.63;17.98;-2.36;-2.36;0;-1.18;0
2610;2609;belveth;Bel'Veth;48.26;4.02;3.44;7.46;1.43;1.43;0;0.72;0
